country_code,report_date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index
ITA,2021-11-14,4860061,132775,4608056,110802257,92400989,46923661,45407262,4105,458,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-15,4865260,132819,4611566,111051082,92613334,46943193,45444155,4283,475,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-16,4873075,132893,4616786,111735792,92832995,46962345,45474704,4451,481,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-17,4883242,132965,4623192,112273557,93057653,46981439,45503155,4546,486,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-18,4893887,133034,4628340,112899331,93301901,47002976,45533438,4591,503,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-19,4904441,133082,4634229,113437819,93556593,47024381,45562239,4657,512,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-20,4915981,133131,4639449,114012631,93751458,47043040,45583231,4762,512,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-21,4925688,133177,4643751,114499740,93835373,47052050,45593840,4865,520,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-22,4932091,133247,4647330,114767310,94091636,47074627,45615775,5056,549,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-23,4942135,133330,4654295,115456590,94377592,47096517,45639349,5157,560,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-24,4954585,133415,4661853,116019095,94697335,47118865,45667190,5202,573,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-25,4968341,133486,4668257,116669093,95048348,47146291,45690424,5277,588,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
